DayNum,VehId,Trip,Timestamp(ms),Latitude[deg],Longitude[deg],Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW],Air Conditioning Power[Watts],Heater Power[Watts],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Short Term Fuel Trim Bank 1[%],Short Term Fuel Trim Bank 2[%],Long Term Fuel Trim Bank 1[%],Long Term Fuel Trim Bank 2[%]
1.71977380555,10,1558,0,42.2770658333,-83.7634036111,53.5900001526,,,,5.0,,,0.0,2250.0,-21.5,96.341468811,386.0,,,,
1.71977380555,10,1558,200,42.2770658333,-83.7634036111,51.9799995422,,,,5.0,,,0.0,2250.0,-21.5,96.341468811,386.0,,,,
1.71977380555,10,1558,1200,42.2770658333,-83.7634036111,50.3699989319,,,,5.0,,,0.0,2250.0,-21.5,96.341468811,386.0,,,,
1.71977380555,10,1558,1500,42.2770658333,-83.7634036111,50.3699989319,,,,5.0,,,0.0,2250.0,23.5,96.341468811,390.5,,,,
1.71977380555,10,1558,2300,42.2770658333,-83.7634036111,49.7999992371,,,,5.0,,,0.0,2250.0,23.5,96.341468811,390.5,,,,
1.71977380555,10,1558,3300,42.2770658333,-83.7634036111,51.5699996948,,,,5.0,,,0.0,2250.0,23.5,96.341468811,390.5,,,,
1.71977380555,10,1558,4400,42.2770658333,-83.7634036111,52.9399986267,,,,5.0,,,0.0,2250.0,23.5,96.341468811,390.5,,,,
1.71977380555,10,1558,5000,42.2772541667,-83.7625116667,52.9399986267,,,,5.0,,,0.0,2250.0,23.5,96.341468811,390.5,,,,
1.71977380555,10,1558,5400,42.2772541667,-83.7625116667,54.2999992371,,,,5.0,,,0.0,2250.0,23.5,96.341468811,390.5,,,,
1.71977380555,10,1558,6000,42.2772541667,-83.7625116667,54.2999992371,,,,5.0,,,0.0,2250.0,23.5,96.341468811,390.5,,,,
1.71977380555,10,1558,6400,42.2772541667,-83.7625116667,54.6299972534,,,,5.0,,,0.0,2250.0,23.5,96.341468811,390.5,,,,
